DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,make / manufacturer,model name / number,size / dimensions,media type,part type
"
2021-11-3014:43
",45,https://losangeles.craigslist.org/lac/ele/d/los-angeles-brother-ql-700-thermal/7414755731.html,,,,excellent,,,,,,,,,,Brother,QL-700,0,0,0
"
2021-11-2800:29
",125,https://losangeles.craigslist.org/lgb/for/d/paramount-sewing-machine-brother/7413556586.html,,,,like new,,,,,,,,,,Brother,0,0,0,0
"
2021-12-2020:24
",300,https://losangeles.craigslist.org/sfv/ele/d/woodland-hills-brother-hl-l3230-cdw/7423373687.html,,,,new,,,,,,,,,,Brother,HL-L3230,0,0,0
"
2021-12-2019:47
",200,https://losangeles.craigslist.org/sfv/bfs/d/northridge-brother-mfc-9970cdw-color/7423366856.html,,,,excellent,,,,,,,,,,Brother,MFC-9979CDW,0,0,0
"
2021-12-1212:34
",80,https://losangeles.craigslist.org/lac/ele/d/los-angeles-brother-sx-4000-electronic/7419920452.html,,,,good,,,,,,,,,,Brother,SX 4000,0,0,0
"
2021-12-0211:42
",50,https://losangeles.craigslist.org/lac/sys/d/los-angeles-brother-mfc-7360n-print/7415571488.html,,,,salvage,,,,,,,,,,Brother,MFC-7360n,0,0,0
"
2021-11-2719:58
",70,https://losangeles.craigslist.org/wst/sop/d/lomita-new-genuine-brother-dr-360-drum/7413526076.html,,,,new,,,,,,,,,,BROTHER,0,0,0,0
"
2021-12-2012:53
",260,https://losangeles.craigslist.org/sgv/ele/d/baldwin-park-brother-all-in-one-laser/7423228170.html,,,,excellent,,,,,,,,,,Brorher,MFC-L5858DW,0,0,0
"
2021-12-0111:37
",20,https://losangeles.craigslist.org/lac/art/d/los-angeles-vintage-brother-or/7415118044.html,,,,excellent,,,,,,,,,,0,0,0,0,0
"
2021-11-2507:06
",0,https://losangeles.craigslist.org/lgb/ele/d/paramount-brother-mfc-240c-all-in-one/7412521549.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-12-1412:25
",10,https://losangeles.craigslist.org/lac/emd/d/los-angeles-neil-diamond-vinyl-brother/7420781512.html,,,,good,,,,,,,,,,0,0,0,vinyl,0
"
2021-12-0210:20
",199,https://losangeles.craigslist.org/sgv/atq/d/south-el-monte-brother-business-smart/7415526712.html,,,,excellent,,,,,,,,,,Brother,MFC-J6930DW,0,0,0
"
2021-12-2008:53
",90,https://losangeles.craigslist.org/lgb/hsh/d/long-beach-brother-sewing-machine/7423101494.html,,,,like new,,,,,,,,,,Brother,XM2701,0,0,0
"
2021-11-2909:00
",50,https://losangeles.craigslist.org/wst/bfs/d/torrance-brother-intellifax-770/7414094887.html,,,,excellent,,,,,,,,,,Brother,IntelliFAX 770,0,0,0
"
2021-12-1607:53
",1,https://losangeles.craigslist.org/sfv/sop/d/canoga-park-brother-printer-mfc-410w/7421486074.html,,,,salvage,,,,,,,,,,Brother,MFC J 410W,0,0,0
"
2021-12-1703:04
",250,https://losangeles.craigslist.org/wst/sop/d/torrance-hp-brother-laserjet-toner/7421826714.html,,,,new,,,,,,,,,,0,0,0,0,0
"
2021-11-3013:25
",35,https://losangeles.craigslist.org/sgv/ele/d/monterey-park-brother-dsmobile-sheetfed/7414719358.html,,,,excellent,,,,,,,,,,Brother,DSmobile 610,0,0,0
"
2021-12-1917:51
",25,https://losangeles.craigslist.org/sgv/ele/d/alhambra-brother-mfc-490cw/7422920184.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-12-1915:21
",50,https://losangeles.craigslist.org/lac/sys/d/huntington-park-brother-tn-780-toner/7422878243.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-12-1915:18
",150,https://losangeles.craigslist.org/sfv/ele/d/los-angeles-brother-intellifax-fax/7422877294.html,,,,excellent,,,,,,,,,,Brother,IntelliFAX FAX2840,"12.2""H x 14.7""W x 14.6""D",0,0
"
2021-12-1914:57
",4980,https://losangeles.craigslist.org/sfv/msg/d/sherman-oaks-arp-odyssey-mk-ii-2813-and/7422870267.html,,,,excellent,,,,,,,,,,ARP,0,0,0,0
"
2021-11-2715:39
",70,https://losangeles.craigslist.org/wst/ele/d/lynwood-brother-electronic-typewriter/7413458632.html,,,,excellent,,,,,,,,,,0,0,0,0,0
"
2021-11-2715:51
",90,https://losangeles.craigslist.org/wst/ele/d/lynwood-brother-intellifax-2910/7413462563.html,,,,excellent,,,,,,,,,,0,0,0,0,0
"
2021-12-1914:35
",40,https://losangeles.craigslist.org/wst/ele/d/los-angeles-brother-touch-ptd400/7422862889.html,,,,like new,,,,,,,,,,Brother,PTD400,0,0,0
"
2021-12-1912:15
",150,https://losangeles.craigslist.org/wst/for/d/redondo-beach-genuine-brother-toner-ink/7422809851.html,,,,new,,,,,,,,,,Brother,0,0,0,0
"
2021-11-2110:42
",150,https://losangeles.craigslist.org/sgv/atq/d/west-covina-brother-antique-portable/7410971404.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-12-1911:23
",15,https://losangeles.craigslist.org/lac/sop/d/los-angeles-brother-laser-toner/7422787922.html,,,,new,,,,,,,,,,EZink,Brother TN360,0,0,0
"
2021-12-1822:53
",15,https://losangeles.craigslist.org/sgv/for/d/temple-city-brother-label-maker/7422623084.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-11-1820:38
",40,https://losangeles.craigslist.org/sfv/bfs/d/granada-hills-new-brother-pt-1880/7409912900.html,,,,new,,,,,,,,,,Brother PT-1880 Labeler,Desktop Labeler,"7"" L x 4"" W x 9"" H",0,0
"
2021-11-2816:10
",20,https://losangeles.craigslist.org/sfv/bfs/d/granada-hills-new-brother-labelmaker/7413854641.html,,,,new,,,,,,,,,,Brother PT-90 Label Maker,Includes 1 Starter Tape,"5.75"" L x 2.5"" W x 4.25"" H",0,0
"
2021-12-1815:11
",1,https://losangeles.craigslist.org/wst/for/d/culver-city-brother-oem-toners-drums/7422530712.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-12-0401:48
",30,https://losangeles.craigslist.org/wst/ele/d/los-angeles-new-brother-pt-1950-touch/7416255477.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-12-1722:43
",0,https://losangeles.craigslist.org/sfv/atq/d/calabasas-vintage-brother-valiant-920/7422229717.html,,,,good,,,,,,,,,,0,0,0,0,0
"
2021-12-1722:43
",80,https://losangeles.craigslist.org/sfv/art/d/west-hills-brother-sewing-machine-model/7422229678.html,,,,good,,,,,,,,,,0,0,0,0,0
"
2021-11-1914:10
",45,https://losangeles.craigslist.org/sfv/ele/d/north-hollywood-brother-dsmobile-620/7410243470.html,,,,excellent,,,,,,,,,,Brother,DSmobil 620,"11.4""W x 2.1""D x 1.4""H",0,0
"
2021-12-1715:48
",75,https://losangeles.craigslist.org/wst/for/d/culver-city-brother-ax-10-typewriter/7422137760.html,,,,good,,,,,,,,,,BROTHER,AX-10,0,0,0
"
2021-11-1910:52
",145,https://losangeles.craigslist.org/sfv/ele/d/woodland-hills-brother-all-in-one/7410140827.html,,,,like new,,,,,,,,,,Brothers,MFC-J480DW,0,0,0
"
2021-11-1810:58
",250,https://losangeles.craigslist.org/sgv/sop/d/south-el-monte-brother-mfc-9440cn-color/7409695478.html,,,,excellent,,,,,,,,,,Brother,MFC-9440CN,0,0,0
"
2021-12-1707:22
",20,https://losangeles.craigslist.org/sfv/bab/d/valencia-disney-dvds-brother-bear-and/7421892850.html,,,,excellent,,,,,,,,,,0,0,0,0,0
"
2021-11-1912:21
",20,https://losangeles.craigslist.org/sgv/for/d/arcadia-brother-toner-cartridge/7410189474.html,,,,new,,,,,,,,,,0,0,0,0,0
"
2021-12-1614:59
",200,https://losangeles.craigslist.org/sfv/sop/d/canoga-park-brother-mfc-inkjet/7421698511.html,,,,good,,,,,,,,,,Brother,MFC-J6920DW,0,0,0
"
2021-12-1614:41
",85,https://losangeles.craigslist.org/wst/for/d/culver-city-brother-gx-6750-typewriter/7421691379.html,,,,good,,,,,,,,,,BROTHER,0,0,0,0
"
2021-12-1614:32
",5,https://losangeles.craigslist.org/wst/for/d/los-angeles-typewriter-ribbons-brother/7421687641.html,,,,new,,,,,,,,,,Brother,3010,0,0,0
"
2021-12-1614:32
",5,https://losangeles.craigslist.org/wst/for/d/los-angeles-typewriter-ribbons-brother/7421687504.html,,,,new,,,,,,,,,,Brother,1230,0,0,0
"
2021-12-1113:57
",5,https://losangeles.craigslist.org/sgv/ele/d/covina-brother-4570cdw-color-laser/7419587337.html,,,,good,,,,,,,,,,Brother,4570-CDW,0,0,0
"
2021-12-1611:15
",10,https://losangeles.craigslist.org/sfv/sop/d/van-nuys-new-sealed-lc3029-xxl-ink/7421594248.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-12-1510:19
",399,https://losangeles.craigslist.org/sfv/syd/d/tarzana-brother-hl-l3290cdw-compact/7421148891.html,,,,new,,,,,,,,,,Brother,0,0,0,0
"
2021-12-2315:15
",2300,https://losangeles.craigslist.org/lgb/msg/d/lakewood-hammond-101-a100-leslie-147/7424471030.html,,,,excellent,,,,,,,,,,Hammond / Leslie,A100 (A101),Heavy,0,0
"
2021-12-1608:31
",49,https://losangeles.craigslist.org/sfv/mat/d/woodland-hills-electric-wire-12-awg-tw/7421505242.html,,,,new,,,,,,,,,,kris tech wire com,600 volt #12   SOL TW/THW,400 ft,0,0
"
2021-12-1008:59
",55,https://losangeles.craigslist.org/sfv/tls/d/woodland-hills-load-chain-binder/7419000650.html,,,,good,,,,,,,,,,Cambell Japan,5/16-3/8,"20""",0,0
"
2021-12-1716:16
",157,https://losangeles.craigslist.org/sgv/atq/d/pasadena-antique-medicine-apothecary/7422147807.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-11-2814:25
",600,https://losangeles.craigslist.org/lac/for/d/los-angeles-singer-457g105-zig-zag/7413815201.html,,,,good,,,,,,,,,,Singer,457G105,0,0,0
"
2021-12-2311:50
",4300,https://losangeles.craigslist.org/sfv/jwl/d/glendale-grand-seiko-sbgr311-limited/7424396330.html,,,,excellent,,,,,,,,,,Seiko,SBGR311,42mm,0,0
"
2021-11-2813:40
",950,https://losangeles.craigslist.org/lac/for/d/los-angeles-singer-button-hole/7413796179.html,,,,good,,,,,,,,,,Singer,71-32,0,0,0
"
2021-11-2813:40
",800,https://losangeles.craigslist.org/lac/for/d/los-angeles-pfaff-1445-walking-foot/7413796115.html,,,,good,,,,,,,,,,PFAFF,1445,0,0,0
"
2021-11-2814:08
",550,https://losangeles.craigslist.org/lac/for/d/los-angeles-juki-ddl-automatic-single/7413807950.html,,,,excellent,,,,,,,,,,Juki,DDL-5550-6,0,0,0
"
2021-11-2814:08
",375,https://losangeles.craigslist.org/lac/for/d/los-angeles-chandler-e286-cutting/7413807876.html,,,,good,,,,,,,,,,Chandler,E286,0,0,0
"
2021-11-2813:41
",1275,https://losangeles.craigslist.org/lac/for/d/los-angeles-econosew-small-bobbin/7413796469.html,,,,new,,,,,,,,,,Econosew,0,0,0,0
"
2021-11-2813:41
",300,https://losangeles.craigslist.org/sgv/for/d/los-angeles-namko-bw7502-thread-saver/7413796425.html,,,,good,,,,,,,,,,Namko,BW7502,0,0,0
"
2021-12-1718:41
",55,https://losangeles.craigslist.org/lgb/art/d/whittier-unfinished-bird-houses/7422189753.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-12-2310:42
",800,https://losangeles.craigslist.org/lac/vgm/d/los-angeles-brand-new-playstation-for/7424367009.html,,,,new,,,,,,,,,,PlayStation,0,0,0,0
"
2021-12-2310:03
",400,https://losangeles.craigslist.org/wst/msg/d/carson-yamaha-mm6/7424348552.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-12-2309:22
",20000,https://losangeles.craigslist.org/sfv/cto/d/reseda-hyundai-ionic-hybrid-2019/7424328600.html,2019 hyndai ionic hybrid 2019,2019,44843,excellent,4 cylinders,,hybrid,silver,full-size,clean,automatic,sedan,,0,0,0,0,0
"
2021-12-2015:00
",89,https://losangeles.craigslist.org/sfv/spo/d/woodland-hills-golf-clubs-powerbilt-set/7423283491.html,,,,good,,,,,,,,,,true,various,various,0,0
"
2021-12-0714:42
",3,https://losangeles.craigslist.org/sfv/emd/d/valley-village-over-120-new-unopened/7417843689.html,,,,new,,,,,,,,,,0,0,0,dvd,0
"
2021-12-2221:40
",1,https://losangeles.craigslist.org/wst/for/d/los-angeles-dog/7424188050.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-12-1710:47
",130,https://losangeles.craigslist.org/sfv/hsh/d/valencia-westinghouse-sewing-machine/7422001822.html,,,,,,,,,,,,,,WESTINGHOUSE,0,0,0,0
"
2021-12-2219:45
",75,https://losangeles.craigslist.org/wst/ele/d/culver-city-shuttle-pro-v2-speed-up/7424171071.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-12-0613:07
",0,https://losangeles.craigslist.org/sfv/for/d/north-hollywood-kids-wooden-toy-brand/7417340567.html,,,,new,,,,,,,,,,0,0,0,0,0
"
2021-12-2218:21
",95,https://losangeles.craigslist.org/sfv/bop/d/westlake-village-crank-brothers-iodine/7424153761.html,,,,like new,,,,,,,,,,Crank Brothers,Iodine 11,760mm,0,handlebars
"
2021-12-2218:09
",5900,https://losangeles.craigslist.org/wst/cto/d/las-vegas-2007-chrysler-sebring-low/7424150886.html,2007 chrysler sebring,2007,67410,like new,,rwd,gas,grey,mid-size,clean,automatic,,,0,0,0,0,0
"
2021-12-2214:26
",0,https://losangeles.craigslist.org/sfv/bab/d/valencia-dvds-disney-animated-non/7424081074.html,,,,excellent,,,,,,,,,,0,0,0,0,0
"
2021-12-1318:43
",0,https://losangeles.craigslist.org/sfv/emd/d/burbank-collectible-records-jazz-and/7420488880.html,,,,,,,,,,,,,,0,0,0,vinyl,0
"
2021-12-1514:50
",20,https://losangeles.craigslist.org/sfv/app/d/valencia-keurig-milk-frother/7421276358.html,,,,good,,,,,,,,,,Keurig,0,0,0,0
"
2021-12-2211:28
",0,https://losangeles.craigslist.org/wst/wan/d/los-angeles-rent-volkswagen-181-thing/7424003922.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-12-0506:17
",70,https://losangeles.craigslist.org/wst/app/d/venice-cuisinart-extreme-brew-12-cup/7416712182.html,,,,,,,,,,,,,,0,0,0,0,0
"
2021-12-1623:43
",800,https://losangeles.craigslist.org/sfv/atq/d/north-hollywood-massive-orange-gainey/7421813618.html,,,,,,,,,,,,,,0,0,0,0,0
